"count","bin","cortex","gene","mouse","cell_num","hemisphere","age"
1,92,"cortex","Bcl11b","1","1077","left","12"
1,93,"cortex","Bcl11b","1","1078","left","12"
0,94,"cortex","Bcl11b","1","1079","left","12"
0,97,"cortex","Bcl11b","1","1080","left","12"
1,93,"cortex","Bcl11b","1","1081","left","12"
0,89,"cortex","Bcl11b","1","1082","left","12"
0,91,"cortex","Bcl11b","1","1083","left","12"
0,90,"cortex","Bcl11b","1","1084","left","12"
0,94,"cortex","Bcl11b","1","1085","left","12"
0,87,"cortex","Bcl11b","1","1086","left","12"
0,91,"cortex","Bcl11b","1","1087","left","12"
0,87,"cortex","Bcl11b","1","1088","left","12"
0,95,"cortex","Bcl11b","1","1089","left","12"
0,88,"cortex","Bcl11b","1","1090","left","12"
0,94,"cortex","Bcl11b","1","1091","left","12"
0,93,"cortex","Bcl11b","1","1092","left","12"
0,92,"cortex","Bcl11b","1","1093","left","12"
0,93,"cortex","Bcl11b","1","1094","left","12"
0,88,"cortex","Bcl11b","1","1095","left","12"
0,90,"cortex","Bcl11b","1","1096","left","12"
0,92,"cortex","Bcl11b","1","1097","left","12"
0,90,"cortex","Bcl11b","1","1098","left","12"
0,90,"cortex","Bcl11b","1","1099","left","12"
1,85,"cortex","Bcl11b","1","1100","left","12"
0,88,"cortex","Bcl11b","1","1101","left","12"
0,92,"cortex","Bcl11b","1","1102","left","12"
0,86,"cortex","Bcl11b","1","1103","left","12"
0,90,"cortex","Bcl11b","1","1104","left","12"
0,88,"cortex","Bcl11b","1","1105","left","12"
0,94,"cortex","Bcl11b","1","1106","left","12"
0,95,"cortex","Bcl11b","1","1107","left","12"
0,89,"cortex","Bcl11b","1","1108","left","12"
0,92,"cortex","Bcl11b","1","1109","left","12"
0,90,"cortex","Bcl11b","1","1110","left","12"
1,90,"cortex","Bcl11b","1","1111","left","12"
0,89,"cortex","Bcl11b","1","1112","left","12"
0,86,"cortex","Bcl11b","1","1113","left","12"
0,89,"cortex","Bcl11b","1","1114","left","12"
0,88,"cortex","Bcl11b","1","1115","left","12"
0,89,"cortex","Bcl11b","1","1116","left","12"
0,86,"cortex","Bcl11b","1","1117","left","12"
0,85,"cortex","Bcl11b","1","1118","left","12"
0,87,"cortex","Bcl11b","1","1119","left","12"
0,89,"cortex","Bcl11b","1","1120","left","12"
0,89,"cortex","Bcl11b","1","1121","left","12"
0,91,"cortex","Bcl11b","1","1122","left","12"
0,88,"cortex","Bcl11b","1","1123","left","12"
1,84,"cortex","Bcl11b","1","1124","left","12"
0,93,"cortex","Bcl11b","1","1125","left","12"
0,89,"cortex","Bcl11b","1","1126","left","12"
0,87,"cortex","Bcl11b","1","1127","left","12"
0,88,"cortex","Bcl11b","1","1128","left","12"
0,86,"cortex","Bcl11b","1","1129","left","12"
0,88,"cortex","Bcl11b","1","1130","left","12"
0,85,"cortex","Bcl11b","1","1131","left","12"
0,84,"cortex","Bcl11b","1","1132","left","12"
0,86,"cortex","Bcl11b","1","1133","left","12"
0,87,"cortex","Bcl11b","1","1134","left","12"
0,83,"cortex","Bcl11b","1","1135","left","12"
0,82,"cortex","Bcl11b","1","1136","left","12"
0,82,"cortex","Bcl11b","1","1137","left","12"
0,87,"cortex","Bcl11b","1","1138","left","12"
0,86,"cortex","Bcl11b","1","1139","left","12"
1,84,"cortex","Bcl11b","1","1140","left","12"
1,88,"cortex","Bcl11b","1","1141","left","12"
0,86,"cortex","Bcl11b","1","1142","left","12"
0,82,"cortex","Bcl11b","1","1143","left","12"
0,85,"cortex","Bcl11b","1","1144","left","12"
0,91,"cortex","Bcl11b","1","1145","left","12"
0,86,"cortex","Bcl11b","1","1146","left","12"
0,86,"cortex","Bcl11b","1","1147","left","12"
0,85,"cortex","Bcl11b","1","1148","left","12"
0,87,"cortex","Bcl11b","1","1149","left","12"
0,81,"cortex","Bcl11b","1","1150","left","12"
1,86,"cortex","Bcl11b","1","1151","left","12"
0,87,"cortex","Bcl11b","1","1152","left","12"
0,86,"cortex","Bcl11b","1","1153","left","12"
0,87,"cortex","Bcl11b","1","1154","left","12"
0,81,"cortex","Bcl11b","1","1155","left","12"
0,84,"cortex","Bcl11b","1","1156","left","12"
0,87,"cortex","Bcl11b","1","1157","left","12"
0,83,"cortex","Bcl11b","1","1158","left","12"
0,84,"cortex","Bcl11b","1","1159","left","12"
0,82,"cortex","Bcl11b","1","1160","left","12"
0,84,"cortex","Bcl11b","1","1161","left","12"
0,84,"cortex","Bcl11b","1","1162","left","12"
0,88,"cortex","Bcl11b","1","1163","left","12"
0,83,"cortex","Bcl11b","1","1164","left","12"
0,82,"cortex","Bcl11b","1","1165","left","12"
0,83,"cortex","Bcl11b","1","1166","left","12"
0,79,"cortex","Bcl11b","1","1167","left","12"
0,83,"cortex","Bcl11b","1","1168","left","12"
0,83,"cortex","Bcl11b","1","1169","left","12"
0,80,"cortex","Bcl11b","1","1170","left","12"
0,84,"cortex","Bcl11b","1","1171","left","12"
1,83,"cortex","Bcl11b","1","1172","left","12"
0,84,"cortex","Bcl11b","1","1173","left","12"
0,84,"cortex","Bcl11b","1","1174","left","12"
0,78,"cortex","Bcl11b","1","1175","left","12"
0,83,"cortex","Bcl11b","1","1176","left","12"
0,78,"cortex","Bcl11b","1","1177","left","12"
0,80,"cortex","Bcl11b","1","1178","left","12"
0,81,"cortex","Bcl11b","1","1179","left","12"
0,81,"cortex","Bcl11b","1","1180","left","12"
0,82,"cortex","Bcl11b","1","1181","left","12"
0,85,"cortex","Bcl11b","1","1182","left","12"
0,79,"cortex","Bcl11b","1","1183","left","12"
0,79,"cortex","Bcl11b","1","1184","left","12"
0,81,"cortex","Bcl11b","1","1185","left","12"
0,83,"cortex","Bcl11b","1","1186","left","12"
0,85,"cortex","Bcl11b","1","1187","left","12"
0,82,"cortex","Bcl11b","1","1188","left","12"
3,78,"cortex","Bcl11b","1","1189","left","12"
0,82,"cortex","Bcl11b","1","1190","left","12"
0,78,"cortex","Bcl11b","1","1191","left","12"
0,83,"cortex","Bcl11b","1","1192","left","12"
0,82,"cortex","Bcl11b","1","1193","left","12"
0,80,"cortex","Bcl11b","1","1194","left","12"
0,79,"cortex","Bcl11b","1","1195","left","12"
0,82,"cortex","Bcl11b","1","1196","left","12"
0,77,"cortex","Bcl11b","1","1197","left","12"
0,80,"cortex","Bcl11b","1","1198","left","12"
0,80,"cortex","Bcl11b","1","1199","left","12"
0,80,"cortex","Bcl11b","1","1200","left","12"
0,78,"cortex","Bcl11b","1","1201","left","12"
0,82,"cortex","Bcl11b","1","1202","left","12"
0,81,"cortex","Bcl11b","1","1203","left","12"
0,84,"cortex","Bcl11b","1","1204","left","12"
0,81,"cortex","Bcl11b","1","1205","left","12"
0,76,"cortex","Bcl11b","1","1206","left","12"
0,80,"cortex","Bcl11b","1","1207","left","12"
2,76,"cortex","Bcl11b","1","1208","left","12"
0,79,"cortex","Bcl11b","1","1209","left","12"
0,78,"cortex","Bcl11b","1","1210","left","12"
0,79,"cortex","Bcl11b","1","1211","left","12"
0,75,"cortex","Bcl11b","1","1212","left","12"
0,76,"cortex","Bcl11b","1","1213","left","12"
0,75,"cortex","Bcl11b","1","1214","left","12"
0,75,"cortex","Bcl11b","1","1215","left","12"
0,75,"cortex","Bcl11b","1","1216","left","12"
0,75,"cortex","Bcl11b","1","1217","left","12"
0,76,"cortex","Bcl11b","1","1218","left","12"
0,76,"cortex","Bcl11b","1","1219","left","12"
0,78,"cortex","Bcl11b","1","1220","left","12"
0,74,"cortex","Bcl11b","1","1221","left","12"
1,75,"cortex","Bcl11b","1","1222","left","12"
0,77,"cortex","Bcl11b","1","1223","left","12"
1,76,"cortex","Bcl11b","1","1224","left","12"
0,77,"cortex","Bcl11b","1","1225","left","12"
0,76,"cortex","Bcl11b","1","1226","left","12"
0,76,"cortex","Bcl11b","1","1227","left","12"
0,76,"cortex","Bcl11b","1","1228","left","12"
1,73,"cortex","Bcl11b","1","1229","left","12"
0,73,"cortex","Bcl11b","1","1230","left","12"
0,75,"cortex","Bcl11b","1","1231","left","12"
0,77,"cortex","Bcl11b","1","1232","left","12"
0,72,"cortex","Bcl11b","1","1233","left","12"
0,74,"cortex","Bcl11b","1","1234","left","12"
0,75,"cortex","Bcl11b","1","1235","left","12"
0,71,"cortex","Bcl11b","1","1236","left","12"
0,75,"cortex","Bcl11b","1","1237","left","12"
0,74,"cortex","Bcl11b","1","1238","left","12"
0,74,"cortex","Bcl11b","1","1239","left","12"
0,71,"cortex","Bcl11b","1","1240","left","12"
0,75,"cortex","Bcl11b","1","1241","left","12"
0,74,"cortex","Bcl11b","1","1242","left","12"
0,72,"cortex","Bcl11b","1","1243","left","12"
0,72,"cortex","Bcl11b","1","1244","left","12"
0,73,"cortex","Bcl11b","1","1245","left","12"
1,73,"cortex","Bcl11b","1","1246","left","12"
0,72,"cortex","Bcl11b","1","1247","left","12"
0,71,"cortex","Bcl11b","1","1248","left","12"
1,100,"cortex","Bcl11b","1","1249","left","12"
1,82,"cortex","Bcl11b","1","1250","left","12"
0,83,"cortex","Bcl11b","1","1251","left","12"
1,78,"cortex","Bcl11b","1","1252","left","12"
0,73,"cortex","Bcl11b","1","1253","left","12"
0,98,"cortex","Bcl11b","1","1254","left","12"
0,97,"cortex","Bcl11b","1","1255","left","12"
0,97,"cortex","Bcl11b","1","1256","left","12"
0,95,"cortex","Bcl11b","1","1257","left","12"
0,99,"cortex","Bcl11b","1","1258","left","12"
0,97,"cortex","Bcl11b","1","1259","left","12"
0,98,"cortex","Bcl11b","1","1260","left","12"
0,93,"cortex","Bcl11b","1","1261","left","12"
0,94,"cortex","Bcl11b","1","1262","left","12"
0,98,"cortex","Bcl11b","1","1263","left","12"
0,94,"cortex","Bcl11b","1","1264","left","12"
0,93,"cortex","Bcl11b","1","1265","left","12"
0,96,"cortex","Bcl11b","1","1266","left","12"
4,97,"cortex","Bcl11b","1","1267","left","12"
0,97,"cortex","Bcl11b","1","1268","left","12"
0,98,"cortex","Bcl11b","1","1269","left","12"
0,98,"cortex","Bcl11b","1","1270","left","12"
0,97,"cortex","Bcl11b","1","1271","left","12"
0,94,"cortex","Bcl11b","1","1272","left","12"
0,99,"cortex","Bcl11b","1","1273","left","12"
0,95,"cortex","Bcl11b","1","1274","left","12"
0,97,"cortex","Bcl11b","1","1275","left","12"
0,95,"cortex","Bcl11b","1","1276","left","12"
0,95,"cortex","Bcl11b","1","1277","left","12"
0,96,"cortex","Bcl11b","1","1278","left","12"
0,90,"cortex","Bcl11b","1","1279","left","12"
0,88,"cortex","Bcl11b","1","1280","left","12"
0,96,"cortex","Bcl11b","1","1281","left","12"
0,100,"cortex","Bcl11b","1","1282","left","12"
0,94,"cortex","Bcl11b","1","1283","left","12"
0,100,"cortex","Bcl11b","1","1284","left","12"
0,98,"cortex","Bcl11b","1","1285","left","12"
0,93,"cortex","Bcl11b","1","1286","left","12"
0,98,"cortex","Bcl11b","1","1287","left","12"
0,96,"cortex","Bcl11b","1","1288","left","12"
1,90,"cortex","Bcl11b","1","1289","left","12"
0,94,"cortex","Bcl11b","1","1290","left","12"
0,94,"cortex","Bcl11b","1","1291","left","12"
0,95,"cortex","Bcl11b","1","1292","left","12"
0,87,"cortex","Bcl11b","1","1293","left","12"
1,91,"cortex","Bcl11b","1","1294","left","12"
0,94,"cortex","Bcl11b","1","1295","left","12"
1,98,"cortex","Bcl11b","1","1296","left","12"
0,92,"cortex","Bcl11b","1","1297","left","12"
0,91,"cortex","Bcl11b","1","1298","left","12"
0,96,"cortex","Bcl11b","1","1299","left","12"
0,95,"cortex","Bcl11b","1","1300","left","12"
0,92,"cortex","Bcl11b","1","1301","left","12"
0,94,"cortex","Bcl11b","1","1302","left","12"
0,94,"cortex","Bcl11b","1","1303","left","12"
0,92,"cortex","Bcl11b","1","1304","left","12"
0,93,"cortex","Bcl11b","1","1305","left","12"
0,95,"cortex","Bcl11b","1","1306","left","12"
0,85,"cortex","Bcl11b","1","1307","left","12"
0,89,"cortex","Bcl11b","1","1308","left","12"
0,92,"cortex","Bcl11b","1","1309","left","12"
0,93,"cortex","Bcl11b","1","1310","left","12"
0,98,"cortex","Bcl11b","1","1311","left","12"
0,90,"cortex","Bcl11b","1","1312","left","12"
1,88,"cortex","Bcl11b","1","1313","left","12"
0,94,"cortex","Bcl11b","1","1314","left","12"
0,93,"cortex","Bcl11b","1","1315","left","12"
0,88,"cortex","Bcl11b","1","1316","left","12"
0,84,"cortex","Bcl11b","1","1317","left","12"
0,90,"cortex","Bcl11b","1","1318","left","12"
0,92,"cortex","Bcl11b","1","1319","left","12"
0,88,"cortex","Bcl11b","1","1320","left","12"
0,89,"cortex","Bcl11b","1","1321","left","12"
0,91,"cortex","Bcl11b","1","1322","left","12"
0,88,"cortex","Bcl11b","1","1323","left","12"
1,89,"cortex","Bcl11b","1","1324","left","12"
0,96,"cortex","Bcl11b","1","1325","left","12"
0,88,"cortex","Bcl11b","1","1326","left","12"
0,86,"cortex","Bcl11b","1","1327","left","12"
0,90,"cortex","Bcl11b","1","1328","left","12"
0,91,"cortex","Bcl11b","1","1329","left","12"
2,90,"cortex","Bcl11b","1","1330","left","12"
0,94,"cortex","Bcl11b","1","1331","left","12"
0,90,"cortex","Bcl11b","1","1332","left","12"
0,98,"cortex","Bcl11b","1","1333","left","12"
0,92,"cortex","Bcl11b","1","1334","left","12"
0,86,"cortex","Bcl11b","1","1335","left","12"
0,95,"cortex","Bcl11b","1","1336","left","12"
0,91,"cortex","Bcl11b","1","1337","left","12"
0,87,"cortex","Bcl11b","1","1338","left","12"
0,92,"cortex","Bcl11b","1","1339","left","12"
0,86,"cortex","Bcl11b","1","1340","left","12"
1,90,"cortex","Bcl11b","1","1341","left","12"
1,89,"cortex","Bcl11b","1","1342","left","12"
0,90,"cortex","Bcl11b","1","1343","left","12"
0,98,"cortex","Bcl11b","1","1344","left","12"
0,84,"cortex","Bcl11b","1","1345","left","12"
0,92,"cortex","Bcl11b","1","1346","left","12"
0,86,"cortex","Bcl11b","1","1347","left","12"
0,88,"cortex","Bcl11b","1","1348","left","12"
0,87,"cortex","Bcl11b","1","1349","left","12"
1,85,"cortex","Bcl11b","1","1350","left","12"
0,81,"cortex","Bcl11b","1","1351","left","12"
0,91,"cortex","Bcl11b","1","1352","left","12"
0,88,"cortex","Bcl11b","1","1353","left","12"
1,95,"cortex","Bcl11b","1","1354","left","12"
0,86,"cortex","Bcl11b","1","1355","left","12"
0,89,"cortex","Bcl11b","1","1356","left","12"
0,84,"cortex","Bcl11b","1","1357","left","12"
1,86,"cortex","Bcl11b","1","1358","left","12"
0,88,"cortex","Bcl11b","1","1359","left","12"
1,84,"cortex","Bcl11b","1","1360","left","12"
0,91,"cortex","Bcl11b","1","1361","left","12"
0,92,"cortex","Bcl11b","1","1362","left","12"
0,86,"cortex","Bcl11b","1","1363","left","12"
0,80,"cortex","Bcl11b","1","1364","left","12"
0,84,"cortex","Bcl11b","1","1365","left","12"
0,86,"cortex","Bcl11b","1","1366","left","12"
0,83,"cortex","Bcl11b","1","1367","left","12"
0,88,"cortex","Bcl11b","1","1368","left","12"
0,91,"cortex","Bcl11b","1","1369","left","12"
0,94,"cortex","Bcl11b","1","1370","left","12"
0,83,"cortex","Bcl11b","1","1371","left","12"
0,86,"cortex","Bcl11b","1","1372","left","12"
0,81,"cortex","Bcl11b","1","1373","left","12"
1,85,"cortex","Bcl11b","1","1374","left","12"
0,87,"cortex","Bcl11b","1","1375","left","12"
0,79,"cortex","Bcl11b","1","1376","left","12"
0,82,"cortex","Bcl11b","1","1377","left","12"
0,81,"cortex","Bcl11b","1","1378","left","12"
0,86,"cortex","Bcl11b","1","1379","left","12"
0,84,"cortex","Bcl11b","1","1380","left","12"
1,87,"cortex","Bcl11b","1","1381","left","12"
0,87,"cortex","Bcl11b","1","1382","left","12"
0,81,"cortex","Bcl11b","1","1383","left","12"
0,81,"cortex","Bcl11b","1","1384","left","12"
0,87,"cortex","Bcl11b","1","1385","left","12"
0,83,"cortex","Bcl11b","1","1386","left","12"
0,85,"cortex","Bcl11b","1","1387","left","12"
0,85,"cortex","Bcl11b","1","1388","left","12"
0,83,"cortex","Bcl11b","1","1389","left","12"
0,88,"cortex","Bcl11b","1","1390","left","12"
0,81,"cortex","Bcl11b","1","1391","left","12"
0,85,"cortex","Bcl11b","1","1392","left","12"
1,87,"cortex","Bcl11b","1","1393","left","12"
0,77,"cortex","Bcl11b","1","1394","left","12"
0,80,"cortex","Bcl11b","1","1395","left","12"
0,79,"cortex","Bcl11b","1","1396","left","12"
0,81,"cortex","Bcl11b","1","1397","left","12"
0,86,"cortex","Bcl11b","1","1398","left","12"
0,80,"cortex","Bcl11b","1","1399","left","12"
0,79,"cortex","Bcl11b","1","1400","left","12"
1,76,"cortex","Bcl11b","1","1401","left","12"
2,78,"cortex","Bcl11b","1","1402","left","12"
0,83,"cortex","Bcl11b","1","1403","left","12"
0,78,"cortex","Bcl11b","1","1404","left","12"
0,79,"cortex","Bcl11b","1","1405","left","12"
0,81,"cortex","Bcl11b","1","1406","left","12"
